OrderConfirmationTime,Revenue,Prediction
2019-01-01,200,
2019-01-02,480,
2019-01-03,0,
2019-01-04,40,
2019-01-05,640,
2019-01-06,70,
2019-01-07,0,
2019-01-08,500,
2019-01-09,185,
2019-01-10,0,
2019-01-11,0,
2019-01-12,0,
2019-01-13,80,
2019-01-14,0,
2019-01-15,54,
2019-01-16,230,
2019-01-17,0,
2019-01-18,70,
2019-01-19,0,
2019-01-20,1600,
2019-01-21,72,
2019-01-22,480,
2019-01-23,225,
2019-01-24,0,
2019-01-25,0,
2019-01-26,0,
2019-01-27,50,
2019-01-28,0,
2019-01-29,500,
2019-01-30,75,
2019-01-31,0,
2019-02-01,0,
2019-02-02,0,
2019-02-03,1500,
2019-02-04,4800,
2019-02-05,180,
2019-02-06,6195,
2019-02-07,410,
2019-02-08,2400,
2019-02-09,0,
2019-02-10,280,
2019-02-11,30,
2019-02-12,0,
2019-02-13,100,
2019-02-14,0,
2019-02-15,0,
2019-02-16,2792,
2019-02-17,0,
2019-02-18,0,
2019-02-19,215,
2019-02-20,0,
2019-02-21,0,
2019-02-22,9315,
2019-02-23,0,
2019-02-24,60,
2019-02-25,50,
2019-02-26,160,
2019-02-27,0,
2019-02-28,2400,
2019-03-01,0,
2019-03-02,100,
2019-03-03,75,
2019-03-04,0,
2019-03-05,300,
2019-03-06,5440,
2019-03-07,0,
2019-03-08,0,
2019-03-09,140,
2019-03-10,140,
2019-03-11,0,
2019-03-12,400,
2019-03-13,2400,
2019-03-14,108,
2019-03-15,210,
2019-03-16,0,
2019-03-17,0,
2019-03-18,1600,
2019-03-19,0,
2019-03-20,4070,
2019-03-21,121,
2019-03-22,9025,
2019-03-23,100,
2019-03-24,7200,
2019-03-25,472,
2019-03-26,0,
2019-03-27,50,
2019-03-28,150,
2019-03-29,100,
2019-03-30,360,
2019-03-31,0,
2019-04-01,400,
2019-04-02,480,
2019-04-03,800,
2019-04-04,0,
2019-04-05,360,
2019-04-06,32,
2019-04-07,0,
2019-04-08,0,
2019-04-09,120,
2019-04-10,0,
2019-04-11,500,
2019-04-12,0,
2019-04-13,108,
2019-04-14,4500,
2019-04-15,63,
2019-04-16,1000,
2019-04-17,555,
2019-04-18,150,
2019-04-19,150,
2019-04-20,0,
2019-04-21,90,
2019-04-22,0,
2019-04-23,0,
2019-04-24,9160,
2019-04-25,100,
2019-04-26,0,
2019-04-27,1275,
2019-04-28,4800,
2019-04-29,60,
2019-04-30,240,
2019-05-01,7548,
2019-05-02,0,
2019-05-03,0,
2019-05-04,0,
2019-05-05,0,
2019-05-06,0,
2019-05-07,480,
2019-05-08,2675,
2019-05-09,0,
2019-05-10,0,
2019-05-11,0,
2019-05-12,0,
2019-05-13,2020,
2019-05-14,100,
2019-05-15,0,
2019-05-16,0,
2019-05-17,165,
2019-05-18,32,
2019-05-19,160,
2019-05-20,0,
2019-05-21,0,
2019-05-22,320,
2019-05-23,300,
2019-05-24,0,
2019-05-25,160,
2019-05-26,150,
2019-05-27,0,
2019-05-28,2000,
2019-05-29,0,
2019-05-30,250,
2019-05-31,6032,
2019-06-01,0,
2019-06-02,540,
2019-06-03,0,
2019-06-04,0,
2019-06-05,114,
2019-06-06,0,
2019-06-07,0,
2019-06-08,7200,
2019-06-09,2275,
2019-06-10,80,
2019-06-11,125,
2019-06-12,400,
2019-06-13,75,
2019-06-14,175,
2019-06-15,0,
2019-06-16,91,
2019-06-17,120,
2019-06-18,160,
2019-06-19,24,
2019-06-20,24,
2019-06-21,2000,
2019-06-22,2755,
2019-06-23,0,
2019-06-24,0,
2019-06-25,0,
2019-06-26,270,
2019-06-27,150,
2019-06-28,0,
2019-06-29,0,
2019-06-30,0,
2019-07-01,0,
2019-07-02,180,
2019-07-03,2220,
2019-07-04,270,
2019-07-05,0,
2019-07-06,0,
2019-07-07,0,
2019-07-08,350,
2019-07-09,0,
2019-07-10,2150,
2019-07-11,280,
2019-07-12,0,
2019-07-13,0,
2019-07-14,440,
2019-07-15,75,
2019-07-16,0,
2019-07-17,0,
2019-07-18,0,
2019-07-19,0,
2019-07-20,0,
2019-07-21,1500,
2019-07-22,0,
2019-07-23,0,
2019-07-24,0,
2019-07-25,3100,
2019-07-26,32,
2019-07-27,4225,
2019-07-28,20,
2019-07-29,0,
2019-07-30,0,
2019-07-31,8000,
2019-08-01,40,
2019-08-02,0,
2019-08-03,0,
2019-08-04,448,
2019-08-05,0,
2019-08-06,560,
2019-08-07,0,
2019-08-08,0,
2019-08-09,0,
2019-08-10,235,
2019-08-11,35,
2019-08-12,240,
2019-08-13,0,
2019-08-14,0,
2019-08-15,0,
2019-08-16,640,
2019-08-17,0,
2019-08-18,1500,
2019-08-19,0,
2019-08-20,120,
2019-08-21,0,
2019-08-22,50,
2019-08-23,0,
2019-08-24,7000,
2019-08-25,0,
2019-08-26,92,
2019-08-27,0,
2019-08-28,0,
2019-08-29,140,
2019-08-30,3360,
2019-08-31,120,
2019-09-01,7208,
2019-09-02,320,
2019-09-03,0,
2019-09-04,0,
2019-09-05,2000,
2019-09-06,150,
2019-09-07,2400,
2019-09-08,150,
2019-09-09,500,
2019-09-10,1300,
2019-09-11,100,
2019-09-12,3000,
2019-09-13,180,
2019-09-14,0,
2019-09-15,0,
2019-09-16,1500,
2019-09-17,210,
2019-09-18,60,
2019-09-19,0,
2019-09-20,48,
2019-09-21,36,
2019-09-22,0,
2019-09-23,0,
2019-09-24,24,
2019-09-25,0,
2019-09-26,645,
2019-09-27,0,
2019-09-28,0,
2019-09-29,75,
2019-09-30,0,
2019-10-01,450,
2019-10-02,0,
2019-10-03,320,
2019-10-04,3000,
2019-10-05,75,
2019-10-06,0,
2019-10-07,0,
2019-10-08,0,
2019-10-09,0,
2019-10-10,0,
2019-10-11,140,
2019-10-12,300,
2019-10-13,0,
2019-10-14,16,
2019-10-15,500,
2019-10-16,85,
2019-10-17,0,
2019-10-18,0,
2019-10-19,275,
2019-10-20,0,
2019-10-21,0,
2019-10-22,8,
2019-10-23,1600,
2019-10-24,48,
2019-10-25,50,
2019-10-26,0,
2019-10-27,0,
2019-10-28,75,
