Gender,Age,CreditScore,MonthlyIncome,Country,CampaignSchema ,No Order,Order
Female,20,600,3500,Australia,Billboard-QR code,0.563,0.437
Female,20,600,3500,Australia,E-mails,0.567,0.433
Female,20,600,3500,Australia,Facebook-ads,0.57,0.43
Female,20,600,3500,Australia,Google-ads,0.574,0.426
Female,20,600,3500,Australia,Instagram-ads,0.577,0.423
Female,20,600,3500,Australia,Twitter-ads,0.581,0.419
Female,20,600,3500,Canada,Billboard-QR code,0.555,0.445
Female,20,600,3500,Canada,E-mails,0.559,0.441
Female,20,600,3500,Canada,Facebook-ads,0.562,0.438
Female,20,600,3500,Canada,Google-ads,0.566,0.434
Female,20,600,3500,Canada,Instagram-ads,0.569,0.431
Female,20,600,3500,Canada,Twitter-ads,0.573,0.427
Female,20,600,3500,China,Billboard-QR code,0.547,0.453
Female,20,600,3500,China,E-mails,0.55,0.45
Female,20,600,3500,China,Facebook-ads,0.554,0.446
Female,20,600,3500,China,Google-ads,0.557,0.443
Female,20,600,3500,China,Instagram-ads,0.561,0.439
Female,20,600,3500,China,Twitter-ads,0.564,0.436
Female,20,600,3500,India,Billboard-QR code,0.538,0.462
Female,20,600,3500,India,E-mails,0.542,0.458
Female,20,600,3500,India,Facebook-ads,0.545,0.455
Female,20,600,3500,India,Google-ads,0.549,0.451
Female,20,600,3500,India,Instagram-ads,0.552,0.448
Female,20,600,3500,India,Twitter-ads,0.556,0.444
Female,20,600,3500,Italy,Billboard-QR code,0.53,0.47
Female,20,600,3500,Italy,E-mails,0.533,0.467
Female,20,600,3500,Italy,Facebook-ads,0.537,0.463
Female,20,600,3500,Italy,Google-ads,0.54,0.46
Female,20,600,3500,Italy,Instagram-ads,0.544,0.456
Female,20,600,3500,Italy,Twitter-ads,0.547,0.453
Female,20,600,3500,Japan,Billboard-QR code,0.521,0.479
Female,20,600,3500,Japan,E-mails,0.525,0.475
Female,20,600,3500,Japan,Facebook-ads,0.528,0.472
Female,20,600,3500,Japan,Google-ads,0.532,0.468
Female,20,600,3500,Japan,Instagram-ads,0.535,0.465
Female,20,600,3500,Japan,Twitter-ads,0.539,0.461
Female,20,600,3500,Spain,Billboard-QR code,0.513,0.487
Female,20,600,3500,Spain,E-mails,0.516,0.484
Female,20,600,3500,Spain,Facebook-ads,0.52,0.48
Female,20,600,3500,Spain,Google-ads,0.523,0.477
Female,20,600,3500,Spain,Instagram-ads,0.527,0.473
Female,20,600,3500,Spain,Twitter-ads,0.531,0.469
Female,20,600,3500,UK,Billboard-QR code,0.504,0.496
Female,20,600,3500,UK,E-mails,0.508,0.492
Female,20,600,3500,UK,Facebook-ads,0.511,0.489
Female,20,600,3500,UK,Google-ads,0.515,0.485
Female,20,600,3500,UK,Instagram-ads,0.519,0.481
Female,20,600,3500,UK,Twitter-ads,0.522,0.478
Female,20,600,3500,USA,Billboard-QR code,0.496,0.504
Female,20,600,3500,USA,E-mails,0.499,0.501
Female,20,600,3500,USA,Facebook-ads,0.503,0.497
Female,20,600,3500,USA,Google-ads,0.506,0.494
Female,20,600,3500,USA,Instagram-ads,0.51,0.49
Female,20,600,3500,USA,Twitter-ads,0.514,0.486
Female,20,600,4500,Australia,Billboard-QR code,0.545,0.455
Female,20,600,4500,Australia,E-mails,0.549,0.451
Female,20,600,4500,Australia,Facebook-ads,0.552,0.448
Female,20,600,4500,Australia,Google-ads,0.556,0.444
Female,20,600,4500,Australia,Instagram-ads,0.559,0.441
Female,20,600,4500,Australia,Twitter-ads,0.563,0.437
Female,20,600,4500,Canada,Billboard-QR code,0.537,0.463
Female,20,600,4500,Canada,E-mails,0.54,0.46
Female,20,600,4500,Canada,Facebook-ads,0.544,0.456
Female,20,600,4500,Canada,Google-ads,0.547,0.453
Female,20,600,4500,Canada,Instagram-ads,0.551,0.449
Female,20,600,4500,Canada,Twitter-ads,0.554,0.446
Female,20,600,4500,China,Billboard-QR code,0.528,0.472
Female,20,600,4500,China,E-mails,0.532,0.468
Female,20,600,4500,China,Facebook-ads,0.535,0.465
Female,20,600,4500,China,Google-ads,0.539,0.461
Female,20,600,4500,China,Instagram-ads,0.542,0.458
Female,20,600,4500,China,Twitter-ads,0.546,0.454
Female,20,600,4500,India,Billboard-QR code,0.52,0.48
Female,20,600,4500,India,E-mails,0.523,0.477
Female,20,600,4500,India,Facebook-ads,0.527,0.473
Female,20,600,4500,India,Google-ads,0.53,0.47
Female,20,600,4500,India,Instagram-ads,0.534,0.466
Female,20,600,4500,India,Twitter-ads,0.538,0.462
Female,20,600,4500,Italy,Billboard-QR code,0.511,0.489
Female,20,600,4500,Italy,E-mails,0.515,0.485
Female,20,600,4500,Italy,Facebook-ads,0.518,0.482
Female,20,600,4500,Italy,Google-ads,0.522,0.478
Female,20,600,4500,Italy,Instagram-ads,0.526,0.474
Female,20,600,4500,Italy,Twitter-ads,0.529,0.471
